company_name,sector,drive_date,role_offered,package_lpa,eligible_branches,min_cgpa,roll_number,current_status,applied_date,final_package_lpa
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22IT003,Selected,2026-01-01,32.5
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSE008,Selected,2026-01-01,30.7
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22IT004,Rejected,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22IT006,Shortlisted,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSEAI004,Applied,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSEAI008,Applied,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSEAI003,Rejected,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSEAI001,Interview Scheduled,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSEAI009,Rejected,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSE006,Rejected,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22CSE002,Rejected,2026-01-01,
Google,Product,2026-01-03,SDE-1,31.6,"CSE,CSE-AI,IT",8.0,22IT002,Shortlisted,2026-01-01,
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22CSE008,Selected,2026-02-01,22.4
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22CSEAI004,Selected,2026-02-01,20.9
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22IT009,Shortlisted,2026-02-06,
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22CSE006,Rejected,2026-02-05,
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22CSEAI003,Shortlisted,2026-02-06,
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22ECE006,Rejected,2026-02-05,
Amazon,Product,2026-02-09,SDE Intern,21.9,"CSE,CSE-AI,IT,ECE",7.5,22IT002,Shortlisted,2026-02-04,
Microsoft,Product,2026-03-25,SDE Intern,25.2,"CSE,CSE-AI,IT",8.0,22CSE008,Selected,2026-03-17,25.6
Microsoft,Product,2026-03-25,SDE Intern,25.2,"CSE,CSE-AI,IT",8.0,22CSEAI001,Rejected,2026-03-22,
Microsoft,Product,2026-03-25,SDE Intern,25.2,"CSE,CSE-AI,IT",8.0,22CSEAI004,Applied,2026-03-21,
Microsoft,Product,2026-03-25,SDE Intern,25.2,"CSE,CSE-AI,IT",8.0,22CSE002,Rejected,2026-03-18,
Microsoft,Product,2026-03-25,SDE Intern,25.2,"CSE,CSE-AI,IT",8.0,22CSE006,Rejected,2026-03-21,
Microsoft,Product,2026-03-25,SDE Intern,25.2,"CSE,CSE-AI,IT",8.0,22IT003,Interview Scheduled,2026-03-23,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSE002,Selected,2026-04-03,23.0
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22IT009,Shortlisted,2026-04-07,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSEAI004,Shortlisted,2026-04-07,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22IT004,Interview Scheduled,2026-04-06,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22IT002,Rejected,2026-04-06,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22IT003,Interview Scheduled,2026-04-02,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSE006,Interview Scheduled,2026-04-02,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSEAI009,Shortlisted,2026-04-10,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSEAI005,Applied,2026-04-06,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSEAI001,Shortlisted,2026-04-06,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSEAI008,Applied,2026-04-04,
Adobe,Product,2026-04-12,SDE Intern,23.4,"CSE,CSE-AI,IT",7.5,22CSEAI010,Shortlisted,2026-04-05,
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSE008,Selected,2026-05-09,23.0
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSEAI003,Selected,2026-05-10,22.3
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSEAI004,Rejected,2026-05-11,
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSEAI001,Interview Scheduled,2026-05-08,
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSE006,Rejected,2026-05-12,
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSEAI008,Rejected,2026-05-10,
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSEAI009,Interview Scheduled,2026-05-14,
Atlassian,Product,2026-05-16,SDE-1,22.3,"CSE,CSE-AI",8.0,22CSE002,Shortlisted,2026-05-11,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSEAI003,Selected,2026-06-06,16.2
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSEAI010,Selected,2026-06-06,17.0
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSE002,Selected,2026-06-13,16.4
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22ECE002,Interview Scheduled,2026-06-07,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22IT009,Rejected,2026-06-06,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSEAI009,Rejected,2026-06-07,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22IT006,Rejected,2026-06-06,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSE007,Interview Scheduled,2026-06-06,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSEAI004,Interview Scheduled,2026-06-12,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22ECE008,Rejected,2026-06-07,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22ECE006,Interview Scheduled,2026-06-11,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22CSE008,Rejected,2026-06-10,
Flipkart,Product/E-commerce,2026-06-16,Software Engineer,16.8,"CSE,CSE-AI,IT,ECE",7.0,22ECE004,Rejected,2026-06-06,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22IT009,Selected,2026-07-10,3.7
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE003,Selected,2026-07-09,3.8
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE004,Selected,2026-07-12,4.0
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22IT008,Interview Scheduled,2026-07-13,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME001,Interview Scheduled,2026-07-11,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22ECE010,Rejected,2026-07-10,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME002,Shortlisted,2026-07-10,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22ECE001,Shortlisted,2026-07-15,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE008,Interview Scheduled,2026-07-08,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI007,Applied,2026-07-11,
TCS,IT Services,2026-07-18,Ninja Trainee,4.5,"CSE,CSE-AI,IT,ECE,ME",6.0,22IT006,Shortlisted,2026-07-15,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22ECE007,Selected,2026-01-17,8.0
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE006,Selected,2026-01-18,6.7
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI002,Rejected,2026-01-20,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI008,Shortlisted,2026-01-14,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME007,Shortlisted,2026-01-14,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI005,Rejected,2026-01-15,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME004,Shortlisted,2026-01-14,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22IT007,Rejected,2026-01-19,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME003,Interview Scheduled,2026-01-16,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE005,Rejected,2026-01-16,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22IT001,Shortlisted,2026-01-17,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22ECE006,Rejected,2026-01-13,
Infosys,IT Services,2026-01-23,Ninja Trainee,6.9,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI010,Rejected,2026-01-20,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE001,Selected,2026-02-01,5.6
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI003,Applied,2026-02-08,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI007,Rejected,2026-02-01,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22IT007,Interview Scheduled,2026-02-03,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME008,Shortlisted,2026-02-08,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22ECE008,Shortlisted,2026-02-01,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22ME001,Applied,2026-02-07,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSE003,Interview Scheduled,2026-02-07,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22ECE009,Rejected,2026-02-08,
Wipro,IT Services,2026-02-10,Systems Engineer,5.0,"CSE,CSE-AI,IT,ECE,ME",6.0,22CSEAI004,Shortlisted,2026-02-04,
Cognizant,IT Services,2026-03-05,Ninja Trainee,4.4,"CSE,IT,ECE,ME",6.0,22ECE004,Selected,2026-03-01,3.6
Cognizant,IT Services,2026-03-05,Ninja Trainee,4.4,"CSE,IT,ECE,ME",6.0,22ME004,Selected,2026-03-01,5.4
Cognizant,IT Services,2026-03-05,Ninja Trainee,4.4,"CSE,IT,ECE,ME",6.0,22IT006,Interview Scheduled,2026-03-01,
Cognizant,IT Services,2026-03-05,Ninja Trainee,4.4,"CSE,IT,ECE,ME",6.0,22IT001,Rejected,2026-03-01,
Cognizant,IT Services,2026-03-05,Ninja Trainee,4.4,"CSE,IT,ECE,ME",6.0,22CSE005,Rejected,2026-03-01,
